filename,num_points,peak_value,R0_posQuantscale,R0_num_points,R0_bytes,R0_bpp,R0_mseF      (p2point),"R0_mseF,PSNR (p2point)",R1_posQuantscale,R1_num_points,R1_bytes,R1_bpp,R1_mseF      (p2point),"R1_mseF,PSNR (p2point)",R2_posQuantscale,R2_num_points,R2_bytes,R2_bpp,R2_mseF      (p2point),"R2_mseF,PSNR (p2point)",R3_posQuantscale,R3_num_points,R3_bytes,R3_bpp,R3_mseF      (p2point),"R3_mseF,PSNR (p2point)",R4_posQuantscale,R4_num_points,R4_bytes,R4_bpp,R4_mseF      (p2point),"R4_mseF,PSNR (p2point)",R5_posQuantscale,R5_num_points,R5_bytes,R5_bpp,R5_mseF      (p2point),"R5_mseF,PSNR (p2point)",R6_posQuantscale,R6_num_points,R6_bytes,R6_bpp,R6_mseF      (p2point),"R6_mseF,PSNR (p2point)",R7_posQuantscale,R7_num_points,R7_bytes,R7_bpp,R7_mseF      (p2point),"R7_mseF,PSNR (p2point)",R8_posQuantscale,R8_num_points,R8_bytes,R8_bpp,R8_mseF      (p2point),"R8_mseF,PSNR (p2point)",R9_posQuantscale,R9_num_points,R9_bytes,R9_bpp,R9_mseF      (p2point),"R9_mseF,PSNR (p2point)"
../dataset/KITTI/dataset/sequences/12/velodyne/000000.bin,114763,158843,1.0,114763,310247,21.627,0.0,inf,0.5,114763,265990,18.5419,1.50224,92.5463,0.25,114763,221884,15.4673,4.50369,87.7779,0.125,114723,178360,12.4333,16.4615,82.149,0.0625,113657,136014,9.4814,64.5087,76.2175,0.03125,104276,94781,6.6071,256.43,70.224,0.015625,83700,58715,4.093,1028.56,64.1913,0.0078125,56475,30569,2.1309,4108.03,58.1773,0.00390625,31093,13744,0.9581,16036.2,52.2626,0.001953125,14676,5475,0.3817,66607.3,46.0784
../dataset/KITTI/dataset/sequences/12/velodyne/000001.bin,114427,158983,1.0,114427,312769,21.8668,0.0,inf,0.5,114427,268617,18.78,1.49947,92.5543,0.25,114427,224553,15.6993,4.50373,87.7779,0.125,114392,181219,12.6697,16.5084,82.1366,0.0625,113274,138736,9.6995,64.5985,76.2114,0.03125,104385,97623,6.8252,256.922,70.2156,0.015625,83988,60837,4.2533,1013.64,64.2548,0.0078125,57133,32082,2.243,4120.8,58.1638,0.00390625,31795,14617,1.0219,16576.8,52.1186,0.001953125,15155,6003,0.4197,61816.6,46.4026
../dataset/KITTI/dataset/sequences/12/velodyne/000002.bin,114171,159752,1.0,114171,312599,21.9039,0.0,inf,0.5,114171,268646,18.8241,1.4951,92.5669,0.25,114171,224886,15.7578,4.51208,87.7699,0.125,114144,181565,12.7223,16.5389,82.1286,0.0625,113098,139102,9.7469,64.4257,76.2231,0.03125,104427,98196,6.8806,256.105,70.2295,0.015625,84215,61457,4.3063,1016.91,64.2408,0.0078125,57640,32910,2.306,4073.05,58.2144,0.00390625,32394,15225,1.0668,16547.8,52.1262,0.001953125,15843,6344,0.4445,69110.7,45.9182
../dataset/KITTI/dataset/sequences/12/velodyne/000003.bin,113898,159125,1.0,113898,311706,21.8937,0.0,inf,0.5,113898,267743,18.8058,1.49886,92.556,0.25,113898,223975,15.7316,4.49758,87.7839,0.125,113861,180814,12.7001,16.5303,82.1308,0.0625,112797,138722,9.7436,64.3551,76.2278,0.03125,104056,97793,6.8688,256.235,70.2272,0.015625,84383,61750,4.3372,1020.59,64.2251,0.0078125,58228,33310,2.3396,4099.59,58.1862,0.00390625,32977,15538,1.0914,16150.5,52.2318,0.001953125,16294,6436,0.4521,65679.1,46.1394
../dataset/KITTI/dataset/sequences/12/velodyne/000004.bin,113733,160076,1.0,113733,310490,21.8399,0.0,inf,0.5,113733,266580,18.7513,1.49395,92.5703,0.25,113733,222935,15.6813,4.49934,87.7822,0.125,113683,179845,12.6503,16.5139,82.1351,0.0625,112620,137775,9.6911,64.3005,76.2315,0.03125,103749,97385,6.8501,257.271,70.2097,0.015625,83984,61683,4.3388,1023.42,64.2131,0.0078125,58320,33614,2.3644,4069.05,58.2187,0.00390625,33681,15917,1.1196,16929.5,52.0272,0.001953125,16576,6558,0.4613,62228.2,46.3738
../dataset/KITTI/dataset/sequences/12/velodyne/000005.bin,113606,158867,1.0,113606,310322,21.8525,0.0,inf,0.5,113606,266427,18.7615,1.49891,92.5559,0.25,113606,222759,15.6864,4.48882,87.7923,0.125,113573,179793,12.6608,16.489,82.1417,0.0625,112480,138032,9.72,64.6884,76.2054,0.03125,103739,97534,6.8682,256.742,70.2187,0.015625,84090,62046,4.3692,1027.89,64.1942,0.0078125,58537,34237,2.4109,4086.54,58.2001,0.00390625,34364,16305,1.1482,17035.5,52.0001,0.001953125,17073,6713,0.4727,62175.7,46.3774
../dataset/KITTI/dataset/sequences/12/velodyne/000006.bin,113503,160076,1.0,113503,309512,21.8152,0.0,inf,0.5,113503,265697,18.727,1.49973,92.5535,0.25,113503,222226,15.6631,4.49521,87.7861,0.125,113478,179388,12.6438,16.4559,82.1504,0.0625,112315,137644,9.7015,64.649,76.208,0.03125,103367,97175,6.8492,257.135,70.212,0.015625,83864,62113,4.3779,1026.11,64.2017,0.0078125,59016,34706,2.4462,4081.36,58.2056,0.00390625,34913,16554,1.1668,16464.3,52.1482,0.001953125,17474,6807,0.4798,62299.6,46.3688
../dataset/KITTI/dataset/sequences/12/velodyne/000007.bin,113215,159948,1.0,113215,308244,21.7811,0.0,inf,0.5,113215,264655,18.7011,1.4965,92.5629,0.25,113215,221033,15.6186,4.49342,87.7879,0.125,113173,178255,12.5959,16.4922,82.1409,0.0625,112004,136680,9.6581,64.6746,76.2063,0.03125,102894,96710,6.8337,256.39,70.2246,0.015625,83478,62265,4.3998,1023.93,64.2109,0.0078125,59420,35304,2.4947,4110.78,58.1744,0.00390625,35609,16834,1.1895,16723.2,52.0804,0.001953125,17832,6938,0.4903,67129.9,46.0445
../dataset/KITTI/dataset/sequences/12/velodyne/000008.bin,112858,159956,1.0,112858,306284,21.7111,0.0,inf,0.5,112858,262713,18.6226,1.49999,92.5527,0.25,112858,219474,15.5575,4.50047,87.7811,0.125,112816,176716,12.5266,16.4842,82.143,0.0625,111646,135261,9.588,64.6052,76.211,0.03125,102091,95727,6.7857,256.144,70.2288,0.015625,83070,62124,4.4037,1033.29,64.1714,0.0078125,59341,35302,2.5024,4078.19,58.209,0.00390625,36016,17010,1.2058,16678.7,52.092,0.001953125,18102,7026,0.498,63264.1,46.3021
../dataset/KITTI/dataset/sequences/12/velodyne/000009.bin,112444,160582,1.0,112444,304742,21.6813,0.0,inf,0.5,112444,261436,18.6003,1.50372,92.542,0.25,112444,218320,15.5327,4.49746,87.784,0.125,112413,175799,12.5075,16.5342,82.1298,0.0625,111237,134535,9.5717,64.6092,76.2107,0.03125,101638,95140,6.7689,256.37,70.225,0.015625,82508,61698,4.3896,1016.14,64.2441,0.0078125,59381,35543,2.5288,4052.34,58.2366,0.00390625,36292,17262,1.2281,16370.9,52.1729,0.001953125,18315,7038,0.5007,62294.0,46.3692
